NAME,STATE_NAME,FIPS,HR60,HR70,HR80,HR90,UE60,UE70,UE80,UE90,DV60,DV70,DV80,DV90,MA60,MA70,MA80,MA90,DNL60,DNL70,DNL80,DNL90,MFIL60,MFIL70,MFIL80,MFIL90,FP60,FP70,FP80,FP90,BLK60,BLK70,BLK80,BLK90,GI60,GI70,GI80,GI90,FH60,FH70,FH80,FH90
Hancock,Ohio,39063,1.2417886724,1.0890221126,4.1291814414,4.0690104167,4.2,3.2,5.6459701686,5.1930559713,1.6929133858,1.9984590196,4.2537602896,6.9792353329,29.4,27.8,29.6,33.0,4.6142640495,4.7455367184,4.7986561703,4.8148398556,8.6518988943,9.2459970492,9.9639239213,10.533934521,18.6,6.0,5.0481041313,5.7567418822,0.4991990463,0.5537677443,0.8098357102,0.9017944336,0.2622194869,0.3164778186,0.3262709096,0.334886494,7.95,6.7,8.9586870402,10.220143093
Mills,Iowa,19129,0.0,2.8172188416,2.4864488537,0.0,3.2,0.6,3.7558685446,3.6700175523,1.4084507042,1.9962423673,3.7656061216,6.5603552685,31.5,31.0,30.6,35.1,3.3739848181,3.2760044098,3.4185027567,3.4091061681,8.3404560129,9.0958269852,9.8491897491,10.398122817,35.2,7.7,7.2585309427,7.5434101907,0.1149425287,0.0929682218,0.119349545,0.166641418,0.3085485714,0.3744908509,0.3411314193,0.3339295163,8.4893048128,4.7,8.039329092,11.557073726
Putnam,Ohio,39137,1.176567482,0.0,1.0103765673,3.9425569453,3.9,3.7,7.5748236422,3.8348082596,0.7409045671,1.1858094865,2.2771855011,4.0792828358,24.9,23.4,26.5,30.8,4.0655032666,4.1598471247,4.2212855266,4.2468997799,8.4757460015,9.1256535638,9.9615205838,10.514556622,26.5,7.6,5.3661464586,4.6253057594,0.0176485122,0.0256953813,0.0666848534,0.0768798604,0.2698469335,0.3162457619,0.3181792583,0.3066914758,9.3455098935,5.8,7.1788715486,7.3604625306
Montgomery,Iowa,19137,0.0,0.0,0.0,0.0,2.9,2.6,4.7549259078,3.9391377853,1.4851485149,2.1767522856,4.0754257908,6.9567187854,35.9,38.4,35.1,38.6,3.5346201586,3.4107096581,3.4547180191,3.3494777125,8.3308636132,9.0088359958,9.808737216,10.269067727,36.1,10.2,6.8263781556,8.6524408068,0.11059653,0.0625929114,0.0596436293,0.0414044386,0.3136974063,0.3727291858,0.3294101829,0.343694079,9.1319618665,8.0,7.341576507,10.464776381
Adams,Iowa,19003,0.0,0.0,5.8163205956,0.0,2.2,1.7,2.8350515464,3.0988274707,1.6741071429,1.7446808511,3.3050468959,6.0363247863,35.0,37.0,36.9,40.1,2.8639431584,2.6973515465,2.6015561456,2.4412379096,8.1391486789,8.8560910553,9.6262837244,10.081884752,43.7,17.0,11.012433393,14.103472714,0.026780932,0.0158177792,0.0174489618,0.0616522811,0.3495959226,0.3946322267,0.3513464946,0.3664994245,8.5742283195,5.1,6.0982830077,6.1658398299
Clarke,Iowa,19039,4.054163626,0.0,3.8705681994,0.0,4.6,2.5,6.3880755922,6.7298347911,1.5609093994,2.2719076812,3.9375,6.6118421053,36.9,37.1,33.7,36.7,2.9531118485,2.8719434771,2.9948037684,2.9558712813,8.2063107258,8.8851640951,9.6109269326,10.208358545,40.2,13.1,13.033080909,9.5581988105,0.0486499635,0.0131908719,0.0464468184,0.0362012791,0.3477513942,0.409842843,0.3529383638,0.3653817591,8.4605320541,5.3,7.891590275,11.55480034
Wapello,Iowa,19179,0.722658226,0.7908451762,2.4850277081,0.0,3.6,9.4,6.9052656323,7.1934176296,2.0617894534,2.6946513202,4.9838362069,7.8548943187,32.5,34.0,33.5,37.1,4.6591988662,4.5690330433,4.5291363979,4.4145792377,8.5919295375,9.0479390826,9.7959580196,10.185126401,21.2,9.8,7.0086833245,11.73870334,1.0146121493,0.8042895442,0.6883526751,0.7565780256,0.2536769084,0.3420175677,0.3493020504,0.3796951078,9.1327957874,8.0,9.7820308347,12.249508841
Jefferson,Iowa,19101,2.1073039154,2.1131820295,2.0429843916,2.0437359493,3.4,3.2,4.9624634177,4.8593656493,1.5525271692,2.2380636605,4.7153445829,7.4316765223,31.8,29.9,31.3,36.8,3.5912615677,3.5884760506,3.6138088243,3.6232685468,8.4570184684,9.042868018,9.7091743829,10.290075605,26.8,9.3,9.4701510429,10.395691875,0.3160955873,0.7734246228,0.4535425349,0.5702023299,0.2700525134,0.3680745059,0.3625370317,0.358265541,8.8705768299,6.6,8.3672980101,9.1781784125
Union,Iowa,19175,0.0,0.0,2.4053494973,2.614379085,3.7,2.0,6.6362302299,6.0162871863,1.4537902388,2.3406478579,4.4258373206,6.8235802203,36.8,34.9,33.2,36.5,3.4739374719,3.4625691292,3.4826482097,3.4026101438,8.2586814963,8.8769633403,9.7079591683,10.182671115,39.2,12.3,10.065876153,11.189007291,0.0656359393,0.1253964741,0.1154567759,0.0784313725,0.3309069307,0.3649931284,0.3466795725,0.360173972,10.344827586,8.2,10.592885375,13.768928772
Henry,Iowa,19087,0.0,1.8401972691,7.0584083289,1.7337633066,2.9,4.3,6.5777576854,4.1955108034,2.4264482863,2.3377791098,4.3768651414,7.3410327891,35.8,30.9,31.6,34.7,3.7216876052,3.717665672,3.7689751013,3.7898228639,8.4422541048,9.1170182147,9.8188551617,10.321704345,29.5,7.2,6.1046511628,8.09169279,0.5498432947,0.5023738545,0.6617257808,1.0974721731,0.3043210067,0.3356147385,0.3367331358,0.3354961854,8.6771300448,7.7,8.3914728682,8.6402821317
Hamilton,Nebraska,31081,0.0,0.0,3.5838440311,3.761378169,1.8,1.7,1.9725763772,2.5131368517,0.7135575943,1.0526315789,2.4568587306,4.0860885839,32.2,30.7,31.3,35.2,2.7866881122,2.8040937049,2.8415048,2.7911301276,8.3133619511,8.9351137408,9.8181475054,10.271112328,28.4,11.7,7.9446640316,5.8919138562,0.0229515722,0.022555543,0.0215030642,0.1015572106,0.2638704104,0.3375358029,0.3324894972,0.3386869752,7.0152505447,5.5,3.9130434783,5.5262088582
Lucas,Iowa,19117,0.0,0.0,3.2321665212,3.6751194414,3.6,2.7,5.3182214473,8.3701464776,1.3299874529,2.0257322748,4.6578947368,6.5165876777,37.6,37.2,36.1,38.9,3.2255814027,3.153464419,3.1715781879,3.0475479582,8.2195954542,8.8841946331,9.6545132412,10.221286524,38.8,14.7,11.941294196,10.401891253,0.0915499405,0.0196792286,0.0193929991,0.0441014333,0.3230711297,0.3773629037,0.3641424665,0.3539035283,10.013262599,8.2,8.5390260173,10.36249015
Monroe,Iowa,19135,0.0,0.0,0.0,0.0,4.4,5.2,6.823760432,8.8299024919,1.6864295125,2.0857814336,3.8128249567,6.8656716418,35.7,37.1,34.4,37.8,3.1802544723,3.0685339742,3.0551224529,2.9296851547,8.2445967564,8.9012303521,9.7161333532,10.139547329,36.7,15.0,9.009009009,13.167259786,0.5065468795,0.2458052795,0.2714735585,0.2341631748,0.3114303279,0.3670083647,0.3488001734,0.3726339727,11.939218524,9.5,7.285546416,11.03202847
Davis,Utah,49011,1.0294420424,4.039261623,2.5021609572,0.7094425023,3.2,4.3,5.3868488471,4.5354863213,1.1537643556,1.6913909751,3.3090156567,5.3016721536,19.0,19.4,22.4,24.7,5.384711269,5.8094257786,6.1939414616,6.4252122756,8.7869149385,9.2936699796,9.9964312982,10.546656363,8.6,4.5,5.0600489499,5.5456916771,0.4786905497,1.7399119441,1.525180838,1.2530528198,0.2033383927,0.2790953086,0.3102167811,0.32067162,5.1349118943,5.8,7.6925266094,10.048004209
Knox,Illinois,17095,1.0879025239,2.1879803301,2.1642562263,1.1821798214,3.7,3.7,8.2724309487,6.7344203708,2.3550809122,3.5221496006,6.8325157673,9.718284094,32.7,32.2,31.9,36.5,4.4329077562,4.4273275946,4.449418466,4.3660012427,8.6578243212,9.1589418089,9.923486239,10.31877097,16.9,7.2,7.2077492329,9.9410222805,2.9471279373,3.1326408376,3.2480075316,5.0715514337,0.2416384598,0.3307811584,0.3370788354,0.3599152265,9.9606399187,8.1,10.841706275,13.276539974
Marshall,Illinois,17123,0.0,2.5058888388,2.3021847733,0.0,3.1,3.3,6.052923467,5.0179797319,1.2897678418,2.1596442939,4.2777777778,5.9954982607,32.8,32.4,32.3,37.8,3.5293648832,3.5269621189,3.618933932,3.5046913545,8.4784523631,9.1205250677,9.9528013891,10.369169356,26.7,8.1,5.8148240579,6.9230769231,0.0449977501,0.0375883326,0.1035983148,0.1323369142,0.2676979401,0.3151990331,0.3337933655,0.3402055316,11.151891587,7.9,7.8362864986,8.3241758242
Union,Pennsylvania,42119,1.2997478489,2.3307578459,5.0704796674,4.6071060003,7.5,2.2,6.3702009008,4.1221935959,2.2791734198,3.678239945,4.4942142591,6.2159287329,28.2,28.0,29.1,32.5,4.3900915102,4.4992155036,4.6417294,4.7378805346,8.5235727984,9.0596337546,9.8027275494,10.366466567,22.5,8.4,6.3685289595,6.4833005894,2.5306090618,2.5661643884,2.7958624886,2.6868642194,0.2835025815,0.3287168017,0.3284466484,0.3528370804,9.1875337777,6.2,7.2270630446,8.8870911822
Carbon,Pennsylvania,42025,1.2605015536,0.6591132291,1.25113384,3.5182774514,10.8,2.7,7.7990859779,6.3608326908,0.9846479619,1.568991909,3.5415837644,5.8724065442,35.5,35.6,35.6,37.5,4.8720635896,4.8297582381,4.9317264676,5.0011110791,8.4794913242,8.9808014136,9.7853231942,10.316424675,21.3,7.5,5.6141522029,7.3864343497,0.0642855792,0.1285270797,0.0563010228,0.2093375084,0.2148973749,0.3015079096,0.3130505058,0.343667356,14.807760141,10.5,10.774365821,12.258867455
Mahoning,Ohio,39099,5.2138800142,9.4129493726,13.126668901,13.217223175,6.5,5.8,11.720915499,9.0930055774,2.2319120502,2.7849110479,5.2894033838,7.3267347001,31.3,30.5,32.1,36.3,6.5848579548,6.5982956182,6.5437391412,6.4577516108,8.7121018637,9.2197955307,9.929691218,10.297453464,13.5,7.4,8.7228129223,12.820829559,11.631056976,12.319033312,14.188892765,14.984932366,0.2376146307,0.3190245004,0.3427333269,0.3854595318,12.034010018,10.8,14.731380198,19.069971726
Lawrence,Pennsylvania,42073,1.1803065846,1.8626483134,4.0441748328,3.1170126551,7.3,5.0,9.7794972717,8.1557785282,1.5825169555,1.95152333,3.8944817766,5.8674675343,30.7,31.2,32.8,37.3,5.7294714671,5.678711498,5.6878576867,5.5871707361,8.6335529925,9.0668163619,9.8626134733,10.221577581,15.9,9.4,7.8005984766,10.868757432,2.4919222768,2.579767914,2.8390107326,3.0286972965,0.2202010043,0.3163923283,0.3410205357,0.3746667186,11.439677912,10.4,11.299646355,14.001189061
Bergen,New Jersey,34003,1.0680269057,1.9692031489,3.1543813371,2.9077515811,3.3,3.2,4.7847214528,4.4349267451,0.8084423136,1.3173440454,3.238630973,4.4623515092,33.2,33.0,35.5,37.6,8.112054953,8.2516550065,8.1803315209,8.1674237142,8.9844430325,9.517163088,10.222559274,10.96197205,6.4,3.0,3.0878163773,2.7129887807,2.0850875675,2.7771337617,3.9086333446,4.8500084809,0.241586294,0.3120932546,0.3508454688,0.3017980864,9.2227042488,8.1,10.906262255,12.582206776
Livingston,Illinois,17105,0.0,1.6384041943,2.4165679901,3.3926193566,3.4,2.8,5.8782289813,4.7942876573,1.4188772363,1.9727982763,4.7141979103,7.3709282863,29.9,29.1,30.7,34.3,3.6552671455,3.663881186,3.678230955,3.6283820636,8.5515946181,9.1706635548,9.9963401696,10.461015448,21.1,7.3,5.2235294118,7.0746268657,2.3226989911,2.4772671418,4.402986878,5.3815424544,0.2669443971,0.3381947213,0.3329801684,0.3325805604,10.12404962,6.8,8.2164705882,10.606965174
Warren,New Jersey,34041,1.5817779184,0.4506940689,1.974045253,1.4554928481,4.2,3.6,5.484985519,4.2980241607,1.2866137421,1.7650281778,4.051380194,6.1570140077,32.9,30.9,31.9,34.4,5.1627317739,5.3196354737,5.4606224253,5.5450093492,8.6145013739,9.2219724562,9.9717067915,10.731384134,16.3,5.3,5.0266631699,3.7546335047,0.8573236318,1.0749053542,1.1050705326,1.4212887661,0.228036981,0.3066870001,0.3263857356,0.3176936885,11.38509653,9.0,10.604073783,11.319701861
Tooele,Utah,49045,0.0,7.7357468864,2.5608522516,1.2530857236,4.1,4.0,5.9445423352,7.7790775401,2.0183175034,3.4576640348,5.4526748971,8.5246254984,22.3,23.5,24.5,28.3,0.9481622018,1.1352945694,1.3250503556,1.3427972516,8.6445304399,9.1822494918,9.9666970659,10.419509651,14.2,6.3,6.734569778,9.0975896531,1.2144616073,0.5801810165,0.6453347674,0.8571106349,0.2199066686,0.2893325288,0.2995589004,0.3284849621,7.9207920792,6.0,8.9844937671,11.272780717
Morris,New Jersey,34027,1.6563463548,2.0862997908,1.30837606,2.4524171736,2.9,2.7,3.7256918698,3.4503041845,1.0260493687,1.3132228485,3.2850527146,4.7870504381,31.3,28.3,31.8,35.3,6.3261800523,6.7085066488,6.7643192202,6.8004102758,8.9484559923,9.5045014105,10.284762422,11.046897921,6.9,2.8,2.7373205247,1.8385839216,2.0545065362,2.2122601407,2.4573755612,2.9644977015,0.241152381,0.2964369983,0.3242371595,0.2714092705,8.4849504981,6.3,8.8458179564,9.8856811716
Des Moines,Iowa,19057,0.0,2.128474735,2.8858154954,4.6932932839,3.8,5.2,6.245484104,5.9329160049,2.1152687596,2.7525205666,5.740452532,8.8417160706,32.2,30.6,31.7,35.9,4.6943340649,4.7462526542,4.7149340362,4.6287722028,8.6539942329,9.1731575808,9.9497984554,10.376517847,16.1,6.6,6.4968152866,9.1438703141,1.0962896536,1.6985228385,2.2098132156,3.1140000939,0.2431619842,0.3256979364,0.3370451812,0.3490053212,10.245762712,9.6,10.724522293,14.665653495
Henderson,Illinois,17071,0.0,0.0,0.0,0.0,1.7,4.4,8.0846968239,7.1960297767,1.4971078598,2.7916251246,5.3841676368,9.3639005489,31.0,31.6,31.6,37.4,3.0868023356,3.1124509132,3.1957204916,3.0621170302,8.33854488,9.0248538118,9.8141097414,10.192381391,34.0,12.0,9.0662533902,9.8877374784,0.1092630812,0.0473316767,0.0109721308,0.0988142292,0.2828418957,0.3219413793,0.3550398441,0.3451705756,9.2075125973,7.1,7.1290197598,8.3333333333
Warren,Illinois,17187,1.5441392196,0.0,6.0763493293,3.4756616791,3.1,2.7,7.6567987958,6.4070488415,1.5784586815,1.8299656881,4.84312749,7.5293120497,31.6,29.7,30.9,35.1,3.6864272818,3.6867978065,3.6994625331,3.5653030845,8.4780364762,9.032289682,9.8576006698,10.213579146,26.5,10.0,9.2755585647,11.545155676,1.4731088155,1.5235008104,1.6497288429,1.8560033366,0.2834395273,0.3437150908,0.3656601295,0.357924731,10.467389373,7.4,8.8862559242,12.318700445
Cass,Nebraska,31025,0.0,0.0,4.9268364783,0.0,2.8,3.9,4.6398184912,3.9295788347,1.4653207424,1.8888372813,3.8760711931,6.9664902998,30.3,29.5,30.9,33.4,3.4655675762,3.4833722568,3.5956631309,3.6406210634,8.4235416353,8.963544292,9.8813441879,10.371113357,29.3,9.7,5.9792337988,5.7824844512,0.0336681443,0.0774507634,0.1872197862,0.1970166057,0.2778241611,0.3345662145,0.3164016142,0.3220722136,7.8539588198,5.9,5.8718224132,8.3543452681
Ashland,Ohio,39005,0.8597491252,1.5395392159,0.721844457,2.1049529543,4.4,2.6,6.7253876502,5.2360293802,2.1898361398,2.1154094967,5.0353304436,7.2471973729,29.3,27.1,29.7,33.3,4.5156943682,4.6262437404,4.6905253179,4.7179559408,8.6422386804,9.1596784572,9.8690513752,10.366088852,16.8,6.6,6.3689132538,8.2050480581,0.3559361378,0.5496155001,0.6756464117,0.968278359,0.2409639102,0.3187311433,0.3244962472,0.3451964965,9.1071075035,7.4,8.9003547243,10.228959912
Wabash,Indiana,18169,3.0670142616,1.8751347753,0.9097525473,1.9010141911,3.1,3.7,6.7495559503,4.5243750707,1.6331994645,2.1136492968,5.1253019324,7.4756312841,28.2,27.4,29.4,33.7,4.3495880961,4.4923278146,4.5216903286,4.4411410911,8.6166764699,9.2061315272,9.8492953235,10.342709757,21.1,5.6,5.979318112,7.0305951383,0.2054899555,0.3347115574,0.4012008734,0.3935099376,0.2662904777,0.3090350186,0.3358159539,0.3352305591,7.6289398281,7.0,9.317088154,10.84450964
Seward,Nebraska,31159,0.0,0.0,0.0,0.0,1.7,1.1,2.0889969953,2.777433354,0.985915493,0.8919015341,2.1857923497,4.2327150084,30.1,27.2,28.6,33.1,3.1690378264,3.2317522861,3.3123509676,3.2913421281,8.2038513722,9.0066317333,9.8120847291,10.375925716,41.0,9.0,7.8299776286,6.1357375407,0.0147264561,0.0691562932,0.3293432136,0.1294498382,0.3502822796,0.3445737827,0.3626092516,0.3149189692,8.3138173302,4.6,4.6482724335,5.8352116203
Lancaster,Nebraska,31109,2.3614474385,2.1829034998,3.1106779204,1.5602498272,3.4,2.9,3.5671198001,3.4436280553,2.4477298257,2.6671632848,5.323677447,7.0827455368,27.5,25.5,27.6,30.7,5.2135970693,5.2922159505,5.4376335445,5.5399608054,8.6652683095,9.187071745,9.9702579562,10.504163021,15.3,6.0,5.3646724836,6.0382308846,1.6339069504,1.4478603577,1.825449493,2.1807611835,0.2346492718,0.3294106993,0.3316870185,0.3384346425,8.9792351974,8.4,10.998622302,13.25149925
Buffalo,Nebraska,31019,1.2705188799,1.0676232571,2.8738109607,0.8901469633,4.1,3.9,3.6936258901,3.3361340385,1.5477578713,1.7700621224,3.4370645611,5.0042589438,30.1,24.3,26.3,28.6,3.3194789938,3.4934694549,3.6056783368,3.6553464912,8.3605393814,8.9572529443,9.8164034456,10.335302436,31.7,11.4,6.5674764617,8.0313742819,0.1219698125,0.2786496701,0.146564359,0.4432931877,0.3020066535,0.3607610159,0.3645601588,0.3540628487,9.0522478736,6.9,7.6601185633,10.218736191
Dawson,Nebraska,31047,0.0,0.0,2.9890004782,5.0150451354,4.8,2.6,4.4442365269,4.3418059539,1.3201320132,2.0513556161,4.0981595092,6.3591703057,30.7,31.6,30.7,36.1,2.9908485728,3.0095340256,3.1230318434,2.9799102608,8.347590407,8.9965281481,9.8275779584,10.19106962,29.5,10.3,6.4242230054,8.3629261364,0.061839732,0.0404633048,0.06276901,0.075225677,0.2852245875,0.357152588,0.3219439715,0.3435676261,8.0718373791,5.8,5.9596283243,8.1676136364
York,Nebraska,31185,0.0,0.0,0.0,2.310322521,1.9,1.7,2.0299452923,3.0177935943,1.0793650794,1.1079195732,2.5806451613,5.0676319299,33.2,31.3,31.3,34.8,3.1690591375,3.166213355,3.2464869373,3.2213393503,8.2758856695,9.0195429967,9.8258502828,10.331398849,33.0,8.3,7.9822616408,4.5793671212,0.1967356456,0.3726708075,0.3513988377,0.6168561131,0.2919346602,0.3501874127,0.366954163,0.3225944715,7.9495614035,4.9,4.9026853905,6.2516079238
Hall,Nebraska,31079,1.8644368003,4.6673356514,1.3979171035,1.3626298757,4.3,3.9,2.5430576228,3.8021323299,2.1344807222,2.670684106,5.1748333528,7.5323215289,31.8,29.0,29.7,33.2,4.1985032386,4.3794861665,4.4868514256,4.494692484,8.4792836183,9.0938065557,9.9106617563,10.335984,23.2,8.0,4.645788509,7.5988764898,0.2293257264,0.2193647756,0.2516250786,0.296371998,0.264545809,0.3325056676,0.3320420129,0.3428146055,9.6669899774,8.5,8.3273567615,11.364153951
Huntington,Indiana,18069,0.0,1.9063959584,0.9364348054,1.8818038972,3.6,2.9,8.5272219637,4.3999565972,1.6805236158,2.207116482,4.177525073,7.1942446043,31.0,29.6,29.9,32.8,4.4624834578,4.551449186,4.5768089187,4.5282394633,8.5948946991,9.209940292,9.8922749253,10.416371057,20.3,4.4,5.1763723649,4.5274188625,0.0088720648,0.0686302545,0.1123721766,0.146780704,0.2484538279,0.3014539784,0.319429617,0.3116782367,8.8141753748,7.2,9.7161344187,10.631803846
Iroquois,Illinois,17075,0.0,0.9940753111,4.0433446547,0.0,3.1,3.4,6.2416287168,4.3606998654,1.2013828868,1.9083319134,3.600360036,6.1270867931,31.8,31.7,33.1,37.0,3.3982816675,3.3973873997,3.3839703491,3.3168937307,8.4705207832,9.0737184944,9.8492425377,10.326006415,26.7,9.5,7.6150356448,6.4264402112,0.4320362315,0.5308362162,0.5852741388,0.5326923702,0.2831803486,0.349108904,0.3578957944,0.3425707968,9.5915143309,7.1,7.6150356448,8.7789763599
Miami,Indiana,18103,3.5087719298,1.698686915,5.8597019923,0.9034158152,5.4,3.8,9.1079075939,7.5370956727,2.3162880189,2.8606604867,5.5224913495,7.6653270004,27.1,25.9,27.9,31.5,4.605170186,4.6453596197,4.6805152558,4.5868284389,8.5004538674,9.0391961158,9.7763925447,10.219574849,23.9,8.7,7.4376375642,8.7707448861,1.6578947368,2.5250980992,2.7297840281,3.0219259018,0.2605528826,0.3184423406,0.3293445836,0.3517648183,7.6851081531,8.0,9.427732942,9.716325743
Ford,Illinois,17053,0.0,0.0,4.3672890053,2.3350846468,3.4,3.7,5.8948863636,4.4289044289,1.1045786567,1.6780821918,3.8217682282,6.1558986087,31.0,32.6,34.1,36.9,3.527203949,3.5136230442,3.4477267558,3.3802621931,8.4965822375,9.108861203,9.9027873074,10.362556617,25.6,7.9,5.160390516,6.3492063492,0.3312055883,0.3967769503,0.3799541435,0.3012259194,0.2850698876,0.3373782679,0.3394600732,0.3425862791,8.4971751412,6.4,7.949790795,9.1710758377
Moffat,Colorado,8081,4.7207666525,5.1085568327,2.5381354857,2.935047401,5.5,5.2,6.1083595978,6.5186997553,3.8775510204,4.0558220672,6.6234555398,8.938547486,26.9,31.1,26.5,31.8,0.3979168376,0.3189711063,1.0208436006,0.8732698711,8.6860917279,9.0015927009,10.046201655,10.479454641,13.0,12.4,3.4925956971,8.9986910995,0.0991360997,0.0459770115,0.0380720323,0.0968565642,0.2226634512,0.3602760749,0.3038570435,0.3260720139,7.0866141732,7.3,5.6719754121,8.2133507853
Weld,Colorado,8123,1.8430461867,5.2260060995,4.5906987043,1.5172089424,3.8,4.2,6.5723128282,5.6508154814,1.7952154665,1.9622326418,4.8721744702,7.9340430314,26.1,24.4,26.7,30.5,2.8946382833,3.1051736565,3.4318976508,3.4969522025,8.4604111773,9.0314529119,9.8360648762,10.335269969,26.8,12.0,9.9805738671,10.635111724,0.1396107486,0.2519681512,0.4836436106,0.4301287352,0.2845735443,0.3649844778,0.3612196444,0.3701971977,8.7192393736,7.6,9.8245278813,12.537804269
Jackson,Colorado,8057,0.0,0.0,0.0,0.0,8.9,9.9,7.1280991736,5.0175029172,4.9132947977,4.3668122271,6.3685636856,9.587020649,28.6,25.9,29.3,35.5,0.0805168436,0.1102192232,0.1431627804,-0.005158014,8.5185922123,9.1887080718,9.7964033299,10.053587181,13.2,4.6,7.4363992172,8.9552238806,0.0,0.0,0.0536768653,0.0,0.1846689898,0.3125540428,0.3516644419,0.3361794524,6.4587973274,4.1,6.457925636,6.1833688699
Perkins,Nebraska,31135,0.0,0.0,0.0,0.0,3.2,2.4,1.8714909545,1.843003413,1.1303191489,1.6897081413,2.1786492375,4.2845594179,30.2,36.9,34.0,37.7,1.5546296759,1.3526849935,1.4137788796,1.3382257436,8.3952515206,9.0822797019,9.7263326257,10.194065428,25.6,6.4,12.941176471,10.983263598,0.0,0.0292141396,0.0,0.0,0.2799840954,0.3100961737,0.3852985807,0.3196003807,6.2162162162,2.3,4.0196078431,5.9623430962
Logan,Colorado,8075,1.6418743638,0.0,0.0,5.6924916036,2.5,1.9,2.5328330206,3.8105975197,1.5703703704,1.9055995309,4.2282152053,7.2808093194,26.3,26.9,28.8,34.7,2.4107846045,2.3366842102,2.3877249441,2.2570177296,8.5788525718,9.0100584898,9.7793405598,10.182481997,20.3,11.4,8.3000190367,10.417511147,0.0344793616,0.1697432633,0.2070707071,0.1138498321,0.2583651999,0.3530716005,0.3596411828,0.3711578709,8.6956521739,7.0,8.7759375595,9.2014592623
Sedgwick,Colorado,8115,15.7158573,9.789525208,0.0,0.0,2.1,2.4,1.3821700069,2.786377709,2.2510231924,2.9249011858,3.4817813765,7.9150579151,30.4,36.0,36.0,40.8,2.0538408883,1.8340509717,1.8004931492,1.5904738902,8.4978064776,8.9871968207,9.6360001874,10.067687568,20.3,13.5,8.1052631579,7.3842302879,0.5893446488,0.3817914831,0.2449479486,0.3717472119,0.2446948749,0.4216118682,0.3419297992,0.3357329113,9.1076356946,9.3,6.0,5.8823529412
Routt,Colorado,8107,5.6497175141,0.0,0.0,7.0982396366,5.0,3.3,5.1509312781,5.0005631265,3.2036613272,2.8513238289,7.3240443015,8.6415544571,32.0,28.5,27.6,32.4,0.9290840833,1.039988525,1.7340988439,1.785899331,8.4153819253,8.9214575789,10.11896177,10.520023631,30.4,12.6,3.853626943,7.3129251701,0.406779661,0.0910194175,0.0671441361,0.0567859171,0.2827818874,0.375682481,0.3181709495,0.3431107927,8.1913499345,7.0,5.0194300518,9.8922902494
Larimer,Colorado,8069,2.4995469571,2.2246941046,3.3515658516,1.7908052893,4.3,5.4,5.2740067747,5.2899615532,1.3972463029,1.901287299,5.1301962002,7.0617235536,27.9,24.4,27.0,31.1,3.0170094704,3.5389646518,4.0480933173,4.2704278277,8.5169931714,9.1020867865,9.945636666,10.516806586,24.5,9.4,5.9486655187,6.5676227352,0.1612207787,0.3114571746,0.4202863578,0.5984871277,0.2794750709,0.3619271755,0.3448655669,0.355630509,8.5121969087,6.9,9.0185105467,10.580585425
Daggett,Utah,49009,0.0,0.0,0.0,0.0,2.1,0.0,6.462585034,3.9087947883,1.0025062657,1.4285714286,4.1509433962,7.874015748,23.6,26.3,25.4,32.1,0.5000023908,-0.023739987,0.0957263912,-0.012100407,8.867850063,9.2157258443,9.8050474797,10.172254354,6.7,16.5,9.756097561,10.526315789,0.0,0.0,0.0,0.0,0.1803871627,0.3418877669,0.3332403305,0.3284728214,4.5296167247,0.0,1.4634146341,5.2631578947
Crawford,Ohio,39033,2.8505255657,0.6618484102,1.9970044933,2.0889910173,4.2,4.4,10.235702059,8.1218498541,2.2861497428,2.7772915573,5.0955414013,8.446789199,29.2,28.2,30.8,34.5,4.7516892732,4.8256170352,4.8233336473,4.7790462034,8.660080679,9.1589418089,9.8431535135,10.300046451,17.4,7.0,8.1782778018,9.8946135831,0.699091395,0.5241839409,0.6010983525,0.5285147274,0.2462917445,0.3075785967,0.3320522704,0.3466971464,10.113188976,7.4,10.587047454,12.726873536
Lander,Nevada,32015,21.28565347,0.0,24.533856722,0.0,5.7,1.8,4.511627907,7.0996497931,4.5676998369,5.6435643564,8.9688834655,11.244121419,34.1,26.7,26.4,28.7,-1.277984986,-0.745930362,-0.302409933,0.1315726174,8.5473343483,9.0636947916,9.9362935043,10.532496132,24.8,18.9,11.308993767,9.7501523461,0.0638569604,0.0375093773,0.0981354269,0.1436323013,0.2695340314,0.3311042559,0.3452444943,0.3419429164,10.354223433,5.3,7.4799643811,7.6173065204
Eureka,Nevada,32011,0.0,0.0,0.0,0.0,3.3,0.0,0.6269592476,3.694874851,6.6489361702,6.6666666667,8.4148727984,14.069591528,37.7,30.5,30.1,33.3,-1.696058079,-1.484190378,-1.248341091,-0.993036279,8.4118326758,9.0768089794,9.6074372304,10.496538117,27.167630058,10.4,22.847682119,7.4358974359,0.3911342894,0.0,0.0,0.3232062056,0.2827936638,0.2714805344,0.4108698388,0.3200835768,12.941176471,4.2,7.2847682119,3.3333333333
